,Value
0,325000.0
1,140000.0
2,3200000.0
3,2900000.0
4,575000.0
5,170000.0
6,3600000.0
7,140000.0
8,2100000.0
9,0.0
10,70000.0
11,2600000.0
12,300000.0
13,3700000.0
14,300000.0
15,275000.0
16,12000000.0
17,160000.0
18,1100000.0
19,650000.0
20,1000000.0
21,2300000.0
22,875000.0
23,525000.0
24,220000.0
25,1600000.0
26,875000.0
27,250000.0
28,2800000.0
29,1300000.0
30,300000.0
31,150000.0
32,750000.0
33,13000000.0
34,170000.0
35,725000.0
36,2600000.0
37,13000000.0
38,825000.0
39,425000.0
40,450000.0
41,140000.0
42,170000.0
43,4600000.0
44,2400000.0
45,650000.0
46,1100000.0
47,375000.0
48,1600000.0
49,7000000.0
50,100000.0
51,3800000.0
52,1500000.0
53,575000.0
54,1700000.0
55,700000.0
56,575000.0
57,120000.0
58,3000000.0
59,775000.0
60,140000.0
61,1000000.0
62,1500000.0
63,110000.0
64,600000.0
65,17000000.0
66,44500000.0
67,650000.0
68,725000.0
69,120000.0
70,800000.0
71,275000.0
72,1500000.0
73,275000.0
74,1200000.0
75,450000.0
76,60000.0
77,950000.0
78,775000.0
79,650000.0
80,1200000.0
81,50000.0
82,70000.0
83,300000.0
84,14000000.0
85,160000.0
86,675000.0
87,425000.0
88,10000000.0
89,150000.0
90,375000.0
91,450000.0
92,1200000.0
93,700000.0
94,550000.0
95,725000.0
96,18000000.0
97,750000.0
98,400000.0
99,9500000.0
100,7000000.0
101,170000.0
102,4099999.9999999995
103,170000.0
104,1000000.0
105,400000.0
106,675000.0
107,2500000.0
108,10000000.0
109,5500000.0
110,1700000.0
111,775000.0
112,250000.0
113,450000.0
114,4600000.0
115,2400000.0
116,2200000.0
117,160000.0
118,1300000.0
119,1300000.0
120,725000.0
121,160000.0
122,3300000.0
123,8000000.0
124,325000.0
125,0.0
126,1000000.0
127,475000.0
128,210000.0
129,2800000.0
130,975000.0
131,17000000.0
132,825000.0
133,575000.0
134,130000.0
135,325000.0
136,275000.0
137,500000.0
138,500000.0
139,475000.0
140,170000.0
141,3900000.0
